fid,object_id,park_name,zone_type,area_m2,is_fenced,has_water,quality_score,longitude,latitude,geometry_wkt,web_link
HUNDEZONEOGD.2097988,2097988,Alois-Drasche-Park,Hundeverbot,13962.0,,False,2,16.367850058254152,48.18640223804841,POINT (16.367850058254152 48.18640223804841),
HUNDEZONEOGD.2097877,2097877,Hundeauslaufplatz Donauinsel Nord (MA45),Hundeauslaufplatz,13794.0,False,False,2,16.38125693745836,48.25287444650913,POINT (16.38125693745836 48.25287444650913),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098114,2098114,Anton-Krieger-Gasse (MA49),Hundeverbot,13726.0,,False,2,16.251510480824706,48.14587530406907,POINT (16.251510480824706 48.14587530406907),
HUNDEZONEOGD.2098028,2098028,Napoleonwald,Hundeverbot,13569.0,False,False,2,16.26839242847614,48.16118377292912,POINT (16.26839242847614 48.16118377292912),
HUNDEZONEOGD.2097863,2097863,Himmelstraße (MA49),Hundeauslaufplatz,13070.0,False,False,2,16.31758908856625,48.261270093891795,POINT (16.31758908856625 48.261270093891795),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098153,2098153,Wilhelmsdorfer Park,Hundeverbot,13050.0,,False,2,16.338947365175994,48.178171172358965,POINT (16.338947365175994 48.178171172358965),
HUNDEZONEOGD.2098146,2098146,Haydnpark,Hundeverbot,12687.0,True,False,3,16.34634369958127,48.181737415419704,POINT (16.34634369958127 48.181737415419704),
HUNDEZONEOGD.2098097,2098097,Schloss Neugebäude - Unterer Garten,Hundeverbot,12505.0,True,False,3,16.442607386010284,48.16122298274046,POINT (16.442607386010284 48.16122298274046),
HUNDEZONEOGD.2098039,2098039,Badeteich Süßenbrunn,Hundeverbot,11878.0,False,False,2,16.48907472261715,48.27659434907395,POINT (16.48907472261715 48.27659434907395),
HUNDEZONEOGD.2098049,2098049,PaN-Park,Hundeverbot,11799.0,,False,2,16.315487401991756,48.14008290284187,POINT (16.315487401991756 48.14008290284187),
HUNDEZONEOGD.2097732,2097732,Elfriede-Stumpf-Park,Hundezone,11532.0,True,True,4,16.279431234040477,48.20618384330426,POINT (16.279431234040477 48.20618384330426),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098061,2098061,Mortarapark,Hundeverbot,11230.0,,False,2,16.38653670932547,48.23422984738547,POINT (16.38653670932547 48.23422984738547),
HUNDEZONEOGD.2098024,2098024,Floridsdorfer Aupark,Hundeverbot,10838.0,,False,2,16.389012296959134,48.25668996620144,POINT (16.389012296959134 48.25668996620144),
HUNDEZONEOGD.2098137,2098137,Esterházypark,Hundeverbot,10782.0,,False,2,16.352330654328252,48.19747767021606,POINT (16.352330654328252 48.19747767021606),
HUNDEZONEOGD.2098096,2098096,Hundeverbot Pirat Bucht (MA 45),Hundeverbot,10495.0,False,False,2,16.431560248308394,48.21652304922643,POINT (16.431560248308394 48.21652304922643),
HUNDEZONEOGD.2097993,2097993,Fortunapark,Hundeverbot,10487.0,,False,2,16.35873166898186,48.17243445281517,POINT (16.35873166898186 48.17243445281517),
HUNDEZONEOGD.2098092,2098092,Arne-Karlsson-Park,Hundeverbot,10480.0,,False,2,16.353764528827618,48.22121596780625,POINT (16.353764528827618 48.22121596780625),
HUNDEZONEOGD.2097976,2097976,Bruno-Kreisky-Park,Hundeverbot,10468.0,,False,2,16.34384401270833,48.187981370244714,POINT (16.34384401270833 48.187981370244714),
HUNDEZONEOGD.2097985,2097985,Ingeborg-Bachmann-Park,Hundeverbot,10426.0,True,False,3,16.44357984308987,48.2584404510064,POINT (16.44357984308987 48.2584404510064),
HUNDEZONEOGD.2098016,2098016,Adolfstorwiesen (MA 49),Hundeverbot,10420.0,False,False,2,16.252819890955912,48.1882903893887,POINT (16.252819890955912 48.1882903893887),
HUNDEZONEOGD.2097839,2097839,Auer-Welsbach-Park,Hundeauslaufplatz,10187.0,False,True,3,16.316524671963116,48.18814025241307,POINT (16.316524671963116 48.18814025241307),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098110,2098110,Max-Winter-Park,Hundeverbot,10040.0,True,False,3,16.400145266753185,48.22017047677542,POINT (16.400145266753185 48.22017047677542),
HUNDEZONEOGD.2097980,2097980,Arthaberpark,Hundeverbot,9981.0,False,False,2,16.37134131752745,48.17308602153859,POINT (16.37134131752745 48.17308602153859),
HUNDEZONEOGD.2098062,2098062,Hügelpark,Hundeverbot,9966.0,False,False,2,16.28751253568408,48.18532775331112,POINT (16.28751253568408 48.18532775331112),
