FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,HUNDETRAENKE,SE_ANNO_CAD_DATA
HUNDEZONEOGD.2097789,2097789,POINT (16.388555956069208 48.25738578401967),Floridsdorfer Aupark,ca. 2469 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097790,2097790,POINT (16.324650118050748 48.22516885736882),Christine-Nöstlinger-Park,ca. 1202 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097791,2097791,POINT (16.359259880072823 48.17208408932154),Fortunapark,ca. 400 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097792,2097792,POINT (16.35390938702583 48.17486654503099),Martin-Luther-King-Park,ca. 726 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097793,2097793,POINT (16.298467559661123 48.14760655468004),PA Riegermühle,ca. 1178 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097794,2097794,POINT (16.350300844419273 48.232660574984706),Währinger Park,ca. 4437 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097795,2097795,POINT (16.348373608354677 48.24528339891511),Saarpark,ca. 1138 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097796,2097796,POINT (16.33914395365927 48.24487328995986),Olympiapark,ca. 3600 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097797,2097797,POINT (16.337526042537 48.234452073606306),Türkenschanzpark,ca. 1402 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097798,2097798,POINT (16.329944987250254 48.23426269742202),Türkenschanzpark,ca. 1817 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097799,2097799,POINT (16.438639652458736 48.23210316290434),Lagerwiese Rehlacke,ca. 4424 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097800,2097800,POINT (16.462232631673178 48.1567359646685),Hofgartel,ca. 1981 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097801,2097801,POINT (16.378174857119078 48.24870197598809),Schmetterlingspark,ca. 372 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097802,2097802,POINT (16.437592159829066 48.24936156993748),Claudia-Heill-Park,ca. 785 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097803,2097803,POINT (16.303676370538717 48.17000084372994),PA Fasangartengasse,ca. 817 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097804,2097804,POINT (16.48053367387834 48.220276966255476),GA Aspernstraße,ca. 327 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097805,2097805,POINT (16.33331785800342 48.23982017968653),Hugo-Wolf-Park,ca. 5952 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097806,2097806,POINT (16.301977376255543 48.196196547879964),Matzner-Park,ca. 5486 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097807,2097807,POINT (16.330514869398343 48.198439694988565),Reithofferpark,ca. 644 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097808,2097808,POINT (16.428883515935535 48.16948140261243),PA Blériotgasse,ca. 1836 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097809,2097809,POINT (16.44777455347634 48.272405055486615),PA Gitlbauergasse,ca. 1983 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097810,2097810,POINT (16.450022680098115 48.28714492025385),PA Illgasse,ca. 1193 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097811,2097811,POINT (16.469981865552207 48.154550502366426),PA Flammweg,ca. 1930 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097812,2097812,POINT (16.413050224277786 48.18148687567204),Hyblerpark,ca. 545 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097813,2097813,POINT (16.367007636552806 48.18114211630354),Waldmüllerpark,ca. 5197 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097814,2097814,POINT (16.339470043399402 48.18892932789987),Gumpendorfer Gürtel Hundezone,ca. 187 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097815,2097815,POINT (16.382322566810018 48.23997536944468),Durchlaufstraße,ca. 799 m²,Hundezone,,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097816,2097816,POINT (16.38182855651531 48.23865178552119),Durchlaufstraße,ca. 837 m²,Hundezone,,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097817,2097817,POINT (16.38718645339719 48.23400398298958),Mortarapark,ca. 469 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,2,
HUNDEZONEOGD.2097818,2097818,POINT (16.380348017428847 48.24452514122442),PA Friedrich-Engels-Platz,ca. 328 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097819,2097819,POINT (16.378024589067802 48.213734530665),Manes-Sperber-Park,ca. 320 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097820,2097820,POINT (16.40543735660576 48.1912333674004),PA Baumgasse,ca. 1273 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097821,2097821,POINT (16.268772025283955 48.160380670797),Napoleonwald,ca. 6036 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097822,2097822,POINT (16.401026667248328 48.19755483379687),Kardinal-Nagl-Park,ca. 584 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097823,2097823,POINT (16.399443171019954 48.19062118301322),Waisenhauspark,ca. 751 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097824,2097824,POINT (16.38585153178108 48.18795534422543),Schweizergarten,ca. 1474 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097825,2097825,POINT (16.3846176283219 48.18486927483497),Schweizergarten,ca. 4097 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097826,2097826,POINT (16.24956202102239 48.20215579760758),Ferdinand-Wolf-Park,ca. 2702 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097827,2097827,POINT (16.455689491471826 48.15148953620613),Leberweg (MA49),ca. 1510 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
